number	strain	dE
4-0	0.0	-4.26246888891855050569913088140550634e-06
4-1	0.0027	-0.00507441888107926462855898546345128867
6-0	0.0027	-0.00152050131866541968115713991718920513
8-0	0.0035	-5.90324529025464325117688151724335632e-05
14-0	0.0023	-0.0469072110458618202696315302817904893
16-0	0.0068	-4.5746235019675478204105986714512818e-05
17-0	0.0007	-0.0782896071382997074472243255501235556
17-1	0.0002	-0.0260354191998565623238312414401974961
14-1	0.0008	-0.00503415448540845632673192181746021153
18-0	0.0068	-0.0030883226819968876058198963500184055
17-2	0.002	-0.0132602917634034600737840052388977615
18-1	0.003	-0.0105688551209754925008094273596072179
14-2	0.0036	-0.000299989497047815213356848410678755157
14-3	0.0069	-0.00714972238352826392270799390761020484
17-3	0.0087	-0.0071950608775135809566530875067519456
16-1	0.0067	-0.00343599194939656796868399347285841959
18-2	0.006	-8.66094125295738931701838699612766287e-06
16-2	0.0025	-3.96559923665928450799659618941711677e-05
14-4	0.0066	-0.0111077136886193370746366249199966802
14-5	0.0008	-0.00658632210765545196150408402330613436
16-3	0.007	-8.16892567025257089559373220006038556e-05
20-0	0.0089	-0.00187428435144794265645819492954588746
20-1	0.0061	-8.54991272002916309990980568933457429e-05
14-6	0.0048	-0.00177759715404233850537887579634138101
20-2	0.0003	-3.62919695230196649965941164422512705e-05
23-0	0.0019	-3.42832336335686824434152306160958465e-05
16-4	0.0005	-0.0127113799971834302429719002761725976
25-0	0.002	-0.070114353078914035848416611025482847
16-5	0.0014	-0.00737862390712061848000411422171103136
23-1	0.0045	-0.000117811185999253634520932602094516199
28-0	0.0014	-0.000102775850804446140294563352287488285
16-6	0.0004	-0.000561899779089094822326346125443309774
28-1	0.0011	-0.000132985182498467994710062773976934035
29-0	0.0	-0.0172272726808556569851654307721676828
23-2	0.0019	-0.000105844350625674962473272180278299775
28-2	0.0027	-0.026034108208041079941723777366791868
23-3	0.0	-0.0193022772721016635039238198862827488
28-3	0.0023	-0.121230378433284180633111077672799985
29-1	0.0054	-0.00247500313591804185854708896228363554
23-4	0.0066	-0.0248855438106441259628112311022737492
33-0	0.0008	-0.000105898095927009104866399237666473289
34-0	0.0028	-0.000930744685409870976891168729897030825
35-0	0.0015	-0.00252698018024399978644559741759653761
37-0	0.0006	-0.0090610390146049817816228089386809556
36-0	0.0008	-5.13147739764429179098724796377199562e-05
34-1	0.0006	-0.00162687202880505650110527622847637133
36-1	0.0007	-0.0425615081711590677579614041607309074
38-0	0.0035	-0.0406339935666006417318535007560463992
38-1	0.0004	-0.00942409148434360852783611423433798378
34-2	0.0072	-1.93880924581797543880694092416551232e-05
42-0	0.0093	-0.0015377186016901410887242284694567062
43-0	0.0036	-0.000466538689442358930806277432858584979
41-0	0.002	-0.000157386641738683170672649175021991416
44-0	0.0013	-0.000180512549149567050495117645304465086
43-1	0.0077	-0.00457090650610391951661613739565599025
41-1	0.0034	-5.63072446685979844524798322470086861e-08
48-0	0.0033	-4.71440151410503454709606082168581896e-06
41-2	0.0048	-3.67396502634548619596901984812206826e-05
49-0	0.0068	-0.059356006771780866472672360177243742
53-0	0.0023	-7.4832525894129826017887187630768752e-05
53-1	0.0005	-7.63904405491224916168514943465688059e-06
48-1	0.0053	-0.00765210289470475825033872444536925296
49-1	0.0014	-6.82295842962956988598948689344684128e-05
59-0	0.0002	-0.00770846585659432778589291489919020085
58-0	0.0019	-0.000558228480514922446372229669706512947
63-0	0.0053	-0.069068608919102342670385761508612153
68-0	0.0001	-0.0025503722531513455075281240331222031
72-0	0.0006	-6.3109649153124085485891855529923317e-06
61-0	0.005	-0.000650764425913099833665217283444411782
61-1	0.0001	-0.000244474729948049230456451150520723268
68-1	0.0066	-0.0580785155618128989143478665221073904
74-0	0.0004	-0.000752487152907490716729032839484287925
73-0	0.0006	-0.000452675151274407665946242100308805193
68-2	0.0047	-7.40023156086304663467257552266633831e-05
73-1	0.0	-1.3170626123293614763567403036284159e-05
75-0	0.0006	-0.000223423875083194092485856503193872858
73-2	0.0015	-0.00409852747365650616018716427747614362
73-3	0.0019	-0.0509655523891097649411487755804332358
68-3	0.0089	-0.00062292404899398647350816867885624891
76-0	0.0013	-0.104268920440108818275252842685732185
73-4	0.0009	-0.000753008343983624618320197777347110815
68-4	0.0006	-0.000303919444456153603274091053341439074
79-0	0.0001	-0.00835488781252572654941230179523348399
79-1	0.0001	-0.0359138479340747301415519085357061293
81-0	0.0049	-0.00274020870555537208081038383132767374
76-1	0.0027	-0.000610206629929569389185981916687408768
81-1	0.0017	-0.0595775466565154582654117317459949427
83-0	0.0009	-5.73308357034458837522396403080671995e-05
82-0	0.0137	-0.0850305804484604529468867977646128239
76-2	0.0033	-2.4408166431506894470719505837173995e-05
81-2	0.0006	-0.00198904071289307838505311011136737928
83-1	0.0005	-0.0147346949874533967853852293084918638
86-0	0.0044	-0.0114202982542426301781264980456779965
84-0	0.0078	-0.000393100963259760551349602247560001361
85-0	0.0063	-0.0124531005620407805850070268722468508
88-0	0.0017	-0.000617322484474806834413360656730308778
85-1	0.001	-0.00541500529362733719233891524898334457
91-0	0.0059	-0.000550131798618513906820577758893570308
85-2	0.0018	-0.00239146447555834478979308239575943815
88-1	0.0005	-2.70788998078243418480469543286999664e-05
92-0	0.0024	-0.000117304824627208126764150267774205365
91-1	0.0012	-0.0578555668906315009510992284389961821
92-1	0.0044	-0.000431256166650012811754630443405649111
88-2	0.0028	-0.000842547679710300344890736473070754847
85-3	0.002	-0.00116070400788372910723065742696098717
92-2	0.0033	-0.000358729652735290739152303342647273455
94-0	0.0036	-0.000196063430558747167746784134409087511
92-3	0.004	-0.0003659548735770058980895738499214171
