num	t/b	strain	dE	RMS	PR	hyst
0	top	0.0128	0.0	2.6224528945716432e-05	0.22341635444458524	0.0001
0	bot	0.0126	0.0	2.62245289457163e-05	0.2234971921068061	0.0001
1	top	0.0294	0.0	4.699302043867077e-05	0.17268186445675365	0.0007
1	bot	0.0286	0.0	4.851580754911039e-05	0.19301216043034777	0.0007
2	top	0.0133	0.0	0.00037930595144185626	0.5253108227352291	0.0031
2	bot	0.0101	0.0	0.0004934982409880863	0.5159177210629292	0.0031
3	top	0.0096	0.0	2.591612363210799e-05	0.13926017400745014	0.0014
3	bot	0.0081	0.0	2.8155595135409026e-05	0.15973554675716864	0.0014
4	top	0.0177	0.0	5.429103878907298e-05	0.3190045668741375	0.0039
4	bot	0.0137	0.0	8.383723962594623e-05	0.3394115743165272	0.0039
5	top	0.0064	0.0	0.0001129992775709109	0.3555729725299644	0.0002
5	bot	0.0061	0.0	0.0001133581197095815	0.35298411841010885	0.0002
6	top	0.0367	0.0	3.494753449839826e-05	0.25293855927676845	0.0001
6	bot	0.0365	0.0	3.494753449839834e-05	0.2552862619455259	0.0001
7	top	0.0043	0.0	6.0676820741789716e-05	0.1900731180335814	0.0002
7	bot	0.004	0.0	6.068371801500807e-05	0.18961288648264246	0.0002
8	top	0.0131	0.0	0.00023872463301774017	0.23169116598041298	0.0054
8	bot	0.0076	0.0	0.00017534798532152493	0.1912499357234985	0.0054
9	top	0.0061	0.0	6.26444773553722e-05	0.23038528777308565	0.0008
9	bot	0.0052	0.0	9.266526491417069e-05	0.20082730169339633	0.0008
10	top	0.0053	0.0	6.569632488345128e-05	0.2596794354850376	0.0017
10	bot	0.0035	0.0	8.608163480239701e-05	0.30085866353022434	0.0017
11	top	0.0023	0.0	0.00019781225017152565	0.27292030797192907	0.003
11	bot	-0.0008	0.0	0.0001308249234241059	0.2563574208585892	0.003
12	top	0.0098	0.0	5.181700682375756e-05	0.08604641640348559	0.0028
12	bot	0.0069	0.0	3.828108779143991e-05	0.08779445418526403	0.0028
13	top	0.0045	0.0	1.6273819476126844e-05	0.13661898002467474	0.0012
13	bot	0.0032	0.0	1.4583192724482827e-05	0.1254727138796401	0.0012
14	top	0.0236	0.0	0.0003278684445698742	0.24927440605827147	0.0112
14	bot	0.0123	0.0	0.00022111794286293178	0.2524083412470617	0.0112
15	top	0.0004	0.0	0.00010405820956512767	0.46591583378221235	0.0001
15	bot	0.0002	0.0	0.00010405820956512754	0.46600001869877794	0.0001
16	top	0.0276	0.0	4.989439718877022e-05	0.5239850245364679	0.0025
16	bot	0.025	0.0	3.986064277056871e-05	0.6110741433878188	0.0025
17	top	0.0027	0.0	1.6387521832747922e-05	0.09303503455279094	0.0012
17	bot	0.0014	0.0	2.1172162962031696e-05	0.08690822987889313	0.0012
18	top	0.0218	0.0	0.0002444031305572356	0.30072968600476374	0.0003
18	bot	0.0214	0.0	0.00014256781099655774	0.3373395411124138	0.0003
19	top	0.0092	0.0	0.00047703454341965323	0.2548350982192014	0.0087
19	bot	0.0004	0.0	0.0003053553394807266	0.2023624924027108	0.0087
20	top	0.0046	0.0	2.4233533013703666e-05	0.12294749944782897	0.0004
20	bot	0.0041	0.0	2.3468294399342357e-05	0.1257369803419773	0.0004
21	top	0.0013	0.0	0.00011722433109974609	0.06968106272977119	0.001
21	bot	0.0002	0.0	0.0001270992471194639	0.0766801427140614	0.001
22	top	0.0019	0.0	1.1422375979925946e-05	0.1655662549493588	0.0005
22	bot	0.0013	0.0	2.073038507095067e-05	0.1641764797824245	0.0005
23	top	0.0036	0.0	3.109279417737475e-05	0.1509769794289012	0.0005
23	bot	0.003	0.0	2.761812419450642e-05	0.14719339568030806	0.0005
24	top	0.0174	0.0	0.0002661336465886076	0.30363266475587175	0.0056
24	bot	0.0117	0.0	0.0002842290722973246	0.31928939557920505	0.0056
25	top	0.0082	0.0	1.2555964083636987e-05	0.10141726909135275	0.0002
25	bot	0.0079	0.0	1.0555443221258778e-05	0.10050103945750441	0.0002
26	top	0.0254	0.0	8.746284231159279e-05	0.15943708251183836	0.003
26	bot	0.0223	0.0	8.374819438745235e-05	0.1428754736634199	0.003
27	top	0.0101	0.0	1.2571812301647696e-05	0.3689440856779379	0.0001
27	bot	0.0099	0.0	1.2571812301647603e-05	0.368943139572835	0.0001
28	top	0.0083	0.0	0.00041845443939409345	0.3108098364805454	0.007
28	bot	0.0012	0.0	0.00030483041950413365	0.3054724954199176	0.007
29	top	0.002	0.0	6.0122199369539335e-05	0.44892832020658024	0.0008
29	bot	0.0011	0.0	4.696337911867754e-05	0.4373993841734729	0.0008
30	top	0.0131	0.0	7.237290437498938e-05	0.17287806049618362	0.0003
30	bot	0.0127	0.0	7.02361367106448e-05	0.1741132341158898	0.0003
31	top	0.023	0.0	5.010070232452165e-05	0.35297639661027014	0.0008
31	bot	0.0221	0.0	4.701404613849782e-05	0.36704839984169413	0.0008
32	top	0.0066	0.0	0.00025165393750672005	0.12786033579371567	0.0044
32	bot	0.0021	0.0	0.00017020064019701627	0.17014732714660757	0.0044
33	top	0.0138	0.0	4.1589096616145346e-05	0.2792301636871268	0.0004
33	bot	0.0133	0.0	4.123928250667163e-05	0.2809686372021952	0.0004
34	top	0.0114	0.0	6.034809722775205e-05	0.1892889709627883	0.003
34	bot	0.0083	0.0	6.428170688379103e-05	0.19484980083864784	0.003
35	top	0.0031	0.0	3.100133412460352e-05	0.24209076608706384	0.0061
35	bot	-0.0031	0.0	0.00011905248729577148	0.4607446716681593	0.0061
36	top	0.0007	0.0	2.3290698440509664e-05	0.2718017608266224	0.0002
36	bot	0.0004	0.0	2.620624225408081e-05	0.24273835932327525	0.0002
37	top	0.0051	0.0	1.0487230291776268e-06	0.1471035842473534	0.0001
37	bot	0.0049	0.0	1.0487230291772431e-06	0.14727339763284977	0.0001
38	top	0.0156	0.0	0.0001415845890335916	0.09309675339097329	0.0026
38	bot	0.0129	0.0	0.0001377731827819703	0.10553600281646515	0.0026
39	top	0.0003	0.0	4.04663378352348e-05	0.38549075493964285	0.0003
39	bot	-0.0001	0.0	4.760779270832644e-05	0.38463486960744797	0.0003
40	top	0.0068	0.0	0.00019093207948060883	0.2122643161606561	0.0095
40	bot	-0.0028	0.0	0.00024853329346450487	0.20506466978866156	0.0095
41	top	0.0038	0.0	7.37402674075427e-05	0.23235492483721437	0.0029
41	bot	0.0008	0.0	8.982825759868854e-05	0.1463791368571079	0.0029
42	top	0.0082	0.0	8.864631087346292e-05	0.2055662906166793	0.0007
42	bot	0.0074	0.0	9.859652097820219e-05	0.24223796729098873	0.0007
43	top	0.0005	0.0	1.2565725309798966e-05	0.18299033493525227	0.0002
43	bot	0.0002	0.0	1.7186341748013146e-05	0.18228380664025787	0.0002
